"","label","tweet_id"
"1",0,"1267486008347627521"
"2",0,"1293763537785905157"
"3",0,"1290070594390593536"
"4",0,"1294897591683911680"
"5",0,"1290095707463004164"
"6",0,"1266237354139807749"
"7",0,"1266269426719969280"
"8",0,"1293525922390454273"
"9",0,"1289292332685123585"
"10",0,"1285771872802463744"
"11",1,"1267717127747899394"
"12",1,"1290264744872382469"
"13",0,"1288907412884336641"
"14",0,"1267496938754183168"
"15",0,"1293652173524307968"
"16",0,"1267779521165606912"
"17",1,"1290032738712588288"
"18",0,"1293328266770567169"
"19",0,"1293714055715315715"
"20",0,"1285939972172738564"
"21",0,"1293152485356470273"
"22",0,"1289011754878599168"
"23",0,"1266240275065696256"
"24",0,"1293686605320990721"
"25",1,"1287089477018513409"
"26",0,"1292927352687800325"
"27",0,"1290187942611353601"
"28",0,"1289242542395932674"
"29",0,"1266151667537510404"
"30",0,"1292904375032020993"
"31",1,"1290053367889145857"
"32",0,"1288920881444663296"
"33",1,"1290055239190474753"
"34",0,"1293198157795532801"
"35",1,"1290122357982470144"
"36",1,"1292889919111733250"
"37",0,"1288925504268128256"
"38",0,"1293117339270025216"
"39",1,"1285352953365377025"
"40",0,"1266045043711676416"
"41",0,"1289409094462234625"
"42",0,"1289452413624041477"
"43",1,"1290218237930561537"
"44",0,"1288908571191775233"
"45",0,"1293138168070340610"
"46",0,"1267390683096252417"
"47",0,"1287112264827379712"
"48",0,"1267673380507004928"
"49",0,"1285267033433600003"
"50",0,"1292996807333539840"
"51",0,"1285586456086487040"
"52",0,"1290094293965651968"
"53",0,"1290133092519141378"
"54",0,"1266919668389941249"
"55",0,"1293057831487381504"
"56",0,"1294585229634609152"
"57",0,"1292852907830726656"
"58",0,"1290009199749996544"
"59",0,"1286031693619462144"
"60",0,"1266114240039079936"
"61",1,"1285136493686620160"
"62",0,"1289407031942635520"
"63",0,"1293748816374636544"
"64",0,"1287517180121227267"
"65",0,"1289978342201073666"
"66",0,"1294344485556514816"
"67",0,"1268195210674274304"
"68",0,"1267818994481770496"
"69",0,"1292877074529767426"
"70",1,"1294004859839053847"
"71",0,"1266951868674199552"
"72",0,"1294787106867355649"
"73",0,"1286783832742596615"
"74",0,"1268556940143030272"
"75",0,"1268322046389485570"
"76",0,"1267607894670917632"
"77",0,"1288922350029697024"
"78",0,"1293369784567029761"
"79",0,"1285504466339401729"
"80",0,"1294779995253088258"
"81",0,"1285742090413051908"
"82",1,"1289607642239836160"
"83",0,"1267439057455415298"
"84",0,"1292900042978795526"
"85",0,"1288925310298345476"
"86",0,"1293252864253538304"
"87",0,"1289683476950614016"
"88",0,"1293301123357519872"
"89",0,"1292962289180532736"
"90",0,"1266495468672090122"
"91",0,"1289958166361300993"
"92",1,"1294973909335506944"
"93",0,"1290267244417572867"
"94",0,"1267723624200445952"
"95",0,"1286695061670055936"
"96",0,"1266155310810427393"
"97",0,"1289491924454236160"
"98",0,"1267392613713313794"
"99",0,"1268230073217400832"
"100",1,"1285348791059509250"
"101",0,"1267334082213617664"
"102",0,"1294401524328800256"
"103",0,"1267698639251492867"
"104",1,"1293048066371551233"
"105",0,"1293659111746306048"
"106",0,"1285994353576615937"
"107",1,"1289581837354901504"
"108",0,"1292864765111525377"
"109",0,"1288914275508129792"
"110",1,"1294767778830921733"
"111",0,"1293699130242424832"
"112",0,"1286665043061350403"
"113",0,"1266559168720171008"
"114",1,"1289521217469394944"
"115",0,"1268362982850846720"
"116",0,"1294250772822204416"
"117",0,"1285388888236752896"
"118",1,"1292955098050711557"
"119",0,"1292924112160141313"
"120",0,"1293217866205089792"
"121",0,"1293790426328182785"
"122",0,"1293208722798411776"
"123",0,"1266031763018530816"
"124",0,"1289152930155814912"
"125",0,"1266044195296477184"
"126",0,"1266953596408602624"
"127",0,"1289013509041410048"
"128",0,"1289274028906037248"
"129",0,"1293228931705761792"
"130",0,"1268036155305365504"
"131",0,"1292904209520701442"
"132",0,"1293707891854254080"
"133",0,"1289905537769906177"
"134",1,"1294731463938772996"
"135",0,"1289587452806492161"
"136",0,"1293201319931543555"
"137",0,"1294515055627628551"
"138",0,"1289607832816373761"
"139",0,"1294297036850954243"
"140",0,"1293388385843843072"
"141",0,"1268758151131586560"
"142",0,"1286566626700087296"
"143",0,"1285719532431179776"
"144",1,"1287251596624027652"
"145",1,"1289562018236649474"
"146",0,"1286771374183284737"
"147",0,"1289704650468278272"
"148",0,"1289360684585689088"
"149",0,"1266322403619151872"
"150",0,"1285500658330865664"
"151",0,"1293206328924672000"
"152",0,"1267264626112290816"
"153",0,"1293010013229744128"
"154",1,"1285221748917633025"
"155",0,"1266441337412308992"
"156",0,"1266371711370268674"
"157",0,"1286877917964914690"
"158",1,"1294314186214903810"
"159",0,"1293694331958824964"
"160",0,"1268764180833763328"
"161",0,"1293748319324446722"
"162",0,"1289775833717133313"
